SURVEY: CSP
SNID: 2013aa 
IAUC: 2013aa
MWEBV: 0.1461 MW E(B-V) (SF11)
RA:   218.141170 deg
DECL:   -44.224390 deg 
RA_HOST:   218.169750
DEC_HOST:   -44.174420
REDSHIFT_HELIO: 0.004113 +- 0.00015 
REDSHIFT_CMB: 0.0047809 +- 0.00015 
VPEC: 440.8658 +- 250.0
FILTERS: ugriBomn
SEARCH_PEAKMJD: 56349.5
NOBS: 366
NVAR: 7
VARLIST: MJD FILTER FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 56370.40000 g VOID 421502.00000 2726.31000 13.43800 0.00700
OBS: 56371.40000 g VOID 390122.00000 3247.28000 13.52200 0.00900
OBS: 56372.40000 g VOID 358757.00000 2986.20000 13.61300 0.00900
OBS: 56373.40000 g VOID 335120.00000 1857.07000 13.68700 0.00600
OBS: 56374.40000 g VOID 313617.00000 2610.47000 13.75900 0.00900
OBS: 56376.40000 g VOID 274663.00000 2031.27000 13.90300 0.00800
OBS: 56377.30000 g VOID 263755.00000 2931.29000 13.94700 0.01200
OBS: 56378.40000 g VOID 250265.00000 3014.54000 14.00400 0.01300
OBS: 56379.30000 g VOID 239662.00000 3334.04000 14.05100 0.01500
OBS: 56379.30000 g VOID 239442.00000 2438.20000 14.05200 0.01100
OBS: 56380.30000 g VOID 226152.00000 2724.09000 14.11400 0.01300
OBS: 56381.30000 g VOID 217170.00000 2413.57000 14.15800 0.01200
OBS: 56382.40000 g VOID 208737.00000 1737.48000 14.20100 0.00900
OBS: 56384.40000 g VOID 193197.00000 1428.78000 14.28500 0.00800
OBS: 56386.40000 g VOID 181468.00000 1005.61000 14.35300 0.00600
OBS: 56389.40000 g VOID 173301.00000 960.34500 14.40300 0.00600
OBS: 56393.40000 g VOID 158343.00000 730.88000 14.50100 0.00500
OBS: 56397.40000 g VOID 147639.00000 681.46900 14.57700 0.00500
OBS: 56400.30000 g VOID 140475.00000 648.40500 14.63100 0.00500
OBS: 56403.20000 g VOID 135394.00000 875.73900 14.67100 0.00700
OBS: 56406.20000 g VOID 127761.00000 707.99100 14.73400 0.00600
OBS: 56409.30000 g VOID 122349.00000 564.73700 14.78100 0.00500
OBS: 56417.20000 g VOID 107944.00000 498.24900 14.91700 0.00500
OBS: 56422.30000 g VOID 100277.00000 462.85600 14.99700 0.00500
OBS: 56426.10000 g VOID 95060.50000 526.77800 15.05500 0.00600
OBS: 56434.20000 g VOID 82413.80000 456.69600 15.21000 0.00600
OBS: 56436.30000 g VOID 79873.00000 516.62400 15.24400 0.00700
OBS: 56444.10000 g VOID 71978.00000 332.23600 15.35700 0.00500
OBS: 56446.20000 g VOID 70729.40000 391.94700 15.37600 0.00600
OBS: 56448.20000 g VOID 67608.30000 312.06600 15.42500 0.00500
OBS: 56685.30000 g VOID 2826.18000 23.52440 18.87200 0.00900
OBS: 56707.30000 g VOID 2060.63000 40.24410 19.21500 0.02100
OBS: 56714.30000 g VOID 1773.37000 19.70880 19.37800 0.01200
OBS: 56714.30000 g VOID 1786.49000 21.51900 19.37000 0.01300
OBS: 56714.30000 g VOID 1788.13000 21.53880 19.36900 0.01300
OBS: 56724.30000 g VOID 1635.31000 16.65210 19.46600 0.01100
OBS: 56756.20000 g VOID 1016.72000 16.99630 19.98200 0.01800
OBS: 56762.30000 g VOID 959.40100 64.83530 20.04500 0.07100
OBS: 56762.30000 g VOID 920.45000 59.49160 20.09000 0.06800
OBS: 56885.00000 g VOID 123.02700 7.47000 22.27500 0.06400
OBS: 56338.40000 r VOID 1799700.00000 14980.30000 11.86200 0.00900
OBS: 56339.40000 r VOID 1879320.00000 20886.20000 11.81500 0.01200
OBS: 56340.40000 r VOID 2017440.00000 16792.70000 11.73800 0.00900
OBS: 56341.40000 r VOID 2100870.00000 11642.00000 11.69400 0.00600
OBS: 56342.40000 r VOID 2077780.00000 11514.00000 11.70600 0.00600
OBS: 56343.40000 r VOID 2151790.00000 15913.50000 11.66800 0.00800
OBS: 56344.40000 r VOID 2112520.00000 17584.10000 11.68800 0.00900
OBS: 56345.40000 r VOID 2106690.00000 25375.90000 11.69100 0.01300
OBS: 56346.40000 r VOID 2145850.00000 21850.90000 11.67100 0.01100
OBS: 56351.40000 r VOID 1763600.00000 16318.40000 11.88400 0.01000
OBS: 56352.40000 r VOID 1636820.00000 18191.10000 11.96500 0.01200
OBS: 56353.40000 r VOID 1536030.00000 15641.20000 12.03400 0.01100
OBS: 56354.40000 r VOID 1421670.00000 10514.00000 12.11800 0.00800
OBS: 56355.40000 r VOID 1303770.00000 12063.60000 12.21200 0.01000
OBS: 56356.40000 r VOID 1217870.00000 10137.20000 12.28600 0.00900
OBS: 56357.40000 r VOID 1164130.00000 9689.90000 12.33500 0.00900
OBS: 56358.30000 r VOID 1093450.00000 10117.60000 12.40300 0.01000
OBS: 56359.40000 r VOID 1053900.00000 6816.70000 12.44300 0.00700
OBS: 56360.40000 r VOID 1028960.00000 8564.84000 12.46900 0.00900
OBS: 56364.40000 r VOID 981748.00000 6350.01000 12.52000 0.00700
OBS: 56365.40000 r VOID 970957.00000 8082.01000 12.53200 0.00900
OBS: 56366.30000 r VOID 959401.00000 8877.22000 12.54500 0.01000
OBS: 56367.40000 r VOID 943626.00000 10487.20000 12.56300 0.01200
OBS: 56368.30000 r VOID 922147.00000 9390.10000 12.58800 0.01100
OBS: 56369.30000 r VOID 922996.00000 8540.38000 12.58700 0.01000
OBS: 56370.40000 r VOID 872569.00000 6453.07000 12.64800 0.00800
OBS: 56371.40000 r VOID 856643.00000 7130.49000 12.66800 0.00900
OBS: 56372.40000 r VOID 823379.00000 7618.64000 12.71100 0.01000
OBS: 56373.40000 r VOID 789223.00000 5104.75000 12.75700 0.00700
OBS: 56374.40000 r VOID 757182.00000 6302.60000 12.80200 0.00900
OBS: 56376.40000 r VOID 680456.00000 6928.99000 12.91800 0.01100
OBS: 56377.30000 r VOID 646249.00000 7182.23000 12.97400 0.01200
OBS: 56378.40000 r VOID 593745.00000 6598.71000 13.06600 0.01200
OBS: 56379.30000 r VOID 562341.00000 6773.63000 13.12500 0.01300
OBS: 56380.30000 r VOID 537527.00000 6976.00000 13.17400 0.01400
OBS: 56381.30000 r VOID 512861.00000 6177.63000 13.22500 0.01300
OBS: 56382.40000 r VOID 472933.00000 3497.57000 13.31300 0.00800
OBS: 56384.40000 r VOID 426973.00000 3554.02000 13.42400 0.00900
OBS: 56386.40000 r VOID 397375.00000 1834.20000 13.50200 0.00500
OBS: 56389.40000 r VOID 352209.00000 2278.11000 13.63300 0.00700
OBS: 56393.40000 r VOID 310742.00000 1434.32000 13.76900 0.00500
OBS: 56397.40000 r VOID 275677.00000 1527.66000 13.89900 0.00600
OBS: 56400.30000 r VOID 250726.00000 1389.40000 14.00200 0.00600
OBS: 56403.20000 r VOID 231206.00000 1709.88000 14.09000 0.00800
OBS: 56406.20000 r VOID 210281.00000 1360.11000 14.19300 0.00700
OBS: 56409.30000 r VOID 193553.00000 1072.57000 14.28300 0.00600
OBS: 56417.20000 r VOID 153886.00000 710.30700 14.53200 0.00500
OBS: 56422.30000 r VOID 131583.00000 607.36000 14.70200 0.00500
OBS: 56426.10000 r VOID 118359.00000 655.88500 14.81700 0.00600
OBS: 56434.20000 r VOID 93325.40000 517.16300 15.07500 0.00600
OBS: 56436.30000 r VOID 86616.40000 720.97400 15.15600 0.00900
OBS: 56444.10000 r VOID 71252.50000 328.88700 15.36800 0.00500
OBS: 56446.20000 r VOID 68045.60000 440.12300 15.41800 0.00700
OBS: 56448.20000 r VOID 63328.60000 350.93600 15.49600 0.00600
OBS: 56653.40000 r VOID 984.46400 48.29700 20.01700 0.05200
OBS: 56685.30000 r VOID 619.44100 17.35440 20.52000 0.03000
OBS: 56714.30000 r VOID 407.38000 17.23930 20.97500 0.04500
OBS: 56714.30000 r VOID 352.85800 18.67720 21.13100 0.05600
OBS: 56714.30000 r VOID 362.41000 16.73050 21.10200 0.04900
OBS: 56756.20000 r VOID 225.73600 13.26560 21.61600 0.06200
OBS: 56338.40000 i VOID 1374040.00000 11437.20000 12.15500 0.00900
OBS: 56339.40000 i VOID 1381660.00000 12784.30000 12.14900 0.01000
OBS: 56340.40000 i VOID 1398300.00000 10341.10000 12.13600 0.00800
OBS: 56341.40000 i VOID 1372780.00000 7607.25000 12.15600 0.00600
OBS: 56342.40000 i VOID 1341530.00000 6192.22000 12.18100 0.00500
OBS: 56343.40000 i VOID 1276440.00000 10624.80000 12.23500 0.00900
OBS: 56344.40000 i VOID 1224620.00000 9056.63000 12.28000 0.00800
OBS: 56345.40000 i VOID 1182500.00000 17554.90000 12.31800 0.01600
OBS: 56346.40000 i VOID 1144990.00000 15928.30000 12.35300 0.01500
OBS: 56351.40000 i VOID 883080.00000 9814.30000 12.63500 0.01200
OBS: 56352.40000 i VOID 795793.00000 12558.20000 12.74800 0.01700
OBS: 56353.40000 i VOID 748859.00000 6929.11000 12.81400 0.01000
OBS: 56354.40000 i VOID 685488.00000 7618.32000 12.91000 0.01200
OBS: 56355.40000 i VOID 627480.00000 6973.63000 13.00600 0.01200
OBS: 56356.40000 i VOID 577564.00000 8034.71000 13.09600 0.01500
