VARNAMES: CID REDSHIFT_CMB_ERR
SN: 1259412 0.000500
SN: 1261059 0.005000
SN: 1261086 0.005000
SN: 1261579 0.000500
SN: 1262128 0.000500
SN: 1262214 0.005000
SN: 1262715 0.005000
SN: 1263369 0.000500
SN: 1263715 0.000500
SN: 1266657 0.005000
SN: 1273127 0.000500
SN: 1275946 0.000500
SN: 1276528 0.000500
SN: 1277168 0.005000
SN: 12779 0.000029
SN: 1277971 0.005000
SN: 12780 0.000015
SN: 12781 0.000178
SN: 1279500 0.000500
SN: 1280201 0.000013
SN: 1280217 0.005000
SN: 1280240 0.000500
SN: 1281668 0.000500
SN: 1281886 0.000500
SN: 1282736 0.000500
SN: 1282757 0.000500
SN: 1283373 0.000500
SN: 1283724 0.005000
SN: 1283878 0.000500
SN: 1283923 0.000500
SN: 1283936 0.000500
SN: 12841 0.000040
SN: 12843 0.000068
SN: 1284587 0.000500
SN: 12851 0.000500
SN: 1285160 0.005000
SN: 12853 0.000500
SN: 1285317 0.000500
SN: 12855 0.000500
SN: 12856 0.000015
SN: 12860 0.000013
SN: 1286398 0.000500
SN: 12869 0.000028
SN: 1287626 0.005000
SN: 12881 0.000033
SN: 12883 0.000500
SN: 1289288 0.000500
SN: 1289555 0.000500
SN: 1289600 0.000500
SN: 1289656 0.005000
SN: 1289664 0.005000
SN: 12897 0.000029
SN: 12898 0.000008
SN: 1290127 0.000500
SN: 1290568 0.005000
SN: 12907 0.000031
SN: 1290779 0.005000
SN: 1290816 0.000500
SN: 1291080 0.005000
SN: 1291090 0.000500
SN: 1291639 0.000500
SN: 1291794 0.000500
SN: 1291957 0.000500
SN: 1292145 0.000500
SN: 1292195 0.005000
SN: 1292315 0.000500
SN: 1292332 0.000500
SN: 1292336 0.000500
SN: 1292560 0.000500
SN: 12927 0.000017
SN: 12928 0.000500
SN: 12930 0.000015
SN: 1293319 0.000500
SN: 1293758 0.000500
SN: 1294014 0.000500
SN: 1294137 0.000500
SN: 1294743 0.000500
SN: 12950 0.000010
SN: 1295027 0.000500
SN: 1295256 0.005000
SN: 1295305 0.005000
SN: 1295921 0.005000
SN: 1296273 0.005000
SN: 1296321 0.000500
SN: 1296657 0.000500
SN: 1297026 0.000500
SN: 12971 0.000038
SN: 12972 0.000500
SN: 1297465 0.000500
SN: 1297501 0.000500
SN: 12977 0.000015
SN: 1298281 0.005000
SN: 12983 0.000014
SN: 1298893 0.000500
SN: 1299643 0.000500
SN: 1299775 0.000500
SN: 1299785 0.000500
SN: 13005 0.000019
SN: 1300516 0.000500
SN: 1300912 0.000500
SN: 1301933 0.000500
SN: 1302058 0.000500
SN: 1302117 0.000500
SN: 1302141 0.005000
SN: 1302187 0.000500
SN: 13025 0.000015
SN: 1302523 0.000500
SN: 1302648 0.000500
SN: 1303004 0.005000
SN: 130308 0.000008
SN: 1303279 0.000500
SN: 1303496 0.000500
SN: 13038 0.005000
SN: 1303883 0.005000
SN: 1303952 0.000500
SN: 1304127 0.005000
SN: 13044 0.000021
SN: 1304442 0.005000
SN: 13045 0.000039
SN: 130451 0.001000
SN: 1304678 0.000500
SN: 130514 0.001000
SN: 1305504 0.000500
SN: 1305626 0.000500
SN: 1306029 0.005000
SN: 1306073 0.000500
SN: 1306141 0.000500
SN: 1306299 0.000500
SN: 1306360 0.000500
SN: 1306390 0.000500
SN: 1306537 0.005000
SN: 1306626 0.000500
SN: 1306785 0.000500
SN: 1306980 0.005000
SN: 1306991 0.000500
SN: 13070 0.000019
SN: 1307073 0.000500
SN: 13072 0.000012
SN: 1307277 0.000500
SN: 130755 0.001000
SN: 1307830 0.005000
SN: 1308314 0.005000
SN: 1308326 0.000500
SN: 1308568 0.000500
SN: 1308582 0.000500
SN: 130862 0.001000
SN: 1308751 0.005000
SN: 1308884 0.000500
SN: 1308957 0.005000
SN: 1309288 0.000500
SN: 130943 0.001000
