VARNAMES: CID HOSTGAL_sSFR
SN: 1992al -9.584370
SN: 1992aq -11.123400
SN: 1992au -11.129500
SN: 1992bc -109.399000
SN: 1992bg -9.242680
SN: 1992bh -8.936450
SN: 1992bk -16.445000
SN: 1992bl -10.039600
SN: 1992bo -10.170200
SN: 1992bp -10.755800
SN: 1992br -11.129500
SN: 1992bs -9.181960
SN: 1993ac -12.625200
SN: 1993ae -16.437800
SN: 1993ag -10.039600
SN: 1993ah -10.474900
SN: 1995ac -9.730400
SN: 1995ak -9.109760
SN: 1995bd -11.129500
SN: 1996ai -11.129500
SN: 1996bk -11.129500
SN: 1996bl -9.138140
SN: 1996bo -10.513900
SN: 1996bv -10.474900
SN: 1997br -9.181960
SN: 1997cn -12.194400
SN: 1997cw -8.929880
SN: 1997dg -9.299570
SN: 1997dt -11.129500
SN: 1998ab -9.730400
SN: 1998bp -11.129500
SN: 1998bu -9.901470
SN: 1998co -10.334400
SN: 1998de -10.468000
SN: 1998dm -8.830120
SN: 1998dx -10.170200
SN: 1998ec -9.550500
SN: 1998ef -10.039600
SN: 1998eg -10.513900
SN: 1998es -9.181960
SN: 1999aa -10.334400
SN: 1999ac -9.400290
SN: 1999aw -11.129500
SN: 1999by -13.339700
SN: 1999cc -10.513900
SN: 1999cl -11.123400
SN: 1999cw -9.400290
SN: 1999da -11.129500
SN: 1999dk -9.109760
SN: 1999dq -9.278240
SN: 1999ee -9.584370
SN: 1999ef -9.730400
SN: 1999ej -12.567800
SN: 1999ek -11.129500
SN: 1999gd -11.129500
SN: 1999gh -9.901470
SN: 1999gp -11.129500
SN: 2000bh -8.936450
SN: 2000bk -11.129500
SN: 2000ce -9.901470
SN: 2000cf -8.898480
SN: 2000cn -11.129500
SN: 2000cx -11.129500
SN: 2000dk -9.584370
SN: 2000fa -8.832810
SN: 2001ah -9.322250
SN: 2001ay -9.242680
SN: 2001az -9.109760
SN: 2001ba -9.322250
SN: 2001bf -9.483650
SN: 2001bt -9.584370
SN: 2001cn -8.936450
SN: 2001cp -11.129500
SN: 2001da -9.730400
SN: 2001eh -10.334400
SN: 2001en -12.193700
SN: 2001ep -9.181960
SN: 2001fe -9.109760
SN: 2001fh -10.513900
SN: 2001gb -9.458400
SN: 2001gc -11.129500
SN: 2001ic -11.129500
SN: 2001ie -16.445000
SN: 2002ar -9.730400
SN: 2002bf -9.730400
SN: 2002bo -12.193700
SN: 2002bz -9.621230
SN: 2002cd -8.832810
SN: 2002ck -9.730400
SN: 2002cx -9.730400
SN: 2002de -8.830120
SN: 2002dj -10.463200
SN: 2002do -9.707820
SN: 2002er -10.039600
SN: 2002es -10.504900
SN: 2002eu -14.005500
SN: 2002fb -11.129500
SN: 2002ha -11.129500
SN: 2002hd -110.683000
SN: 2002he -11.129500
SN: 2002hw -9.138140
SN: 2002kf -9.321290
SN: 2003ae -9.726300
SN: 2003ai -9.730400
SN: 2003cg -9.400290
SN: 2003ch -11.129500
SN: 2003cq -9.722030
SN: 2003fa -109.309000
SN: 2003hu -9.181960
SN: 2003ic -9.812750
