VARNAMES: CID VPEC_ERR
SN: 13518 250.000000
SN: 13578 250.000000
SN: 13610 250.000000
SN: 13641 250.000000
SN: 13655 250.000000
SN: 13689 250.000000
SN: 1371 250.000000
SN: 13727 250.000000
SN: 13736 250.000000
SN: 13757 250.000000
SN: 13796 250.000000
SN: 13830 250.000000
SN: 13835 250.000000
SN: 13894 250.000000
SN: 13934 250.000000
SN: 13956 250.000000
SN: 140152 250.000000
SN: 140181 250.000000
SN: 14019 250.000000
SN: 14024 250.000000
SN: 14108 250.000000
SN: 14157 250.000000
SN: 14212 250.000000
SN: 14261 250.000000
SN: 14279 250.000000
SN: 14284 250.000000
SN: 14298 250.000000
SN: 14318 250.000000
SN: 14331 250.000000
SN: 14397 250.000000
SN: 14421 250.000000
SN: 14437 250.000000
SN: 14451 250.000000
SN: 14456 250.000000
SN: 14481 250.000000
SN: 14735 250.000000
SN: 14782 250.000000
SN: 14815 250.000000
SN: 14816 250.000000
SN: 14846 250.000000
SN: 14871 250.000000
SN: 14979 250.000000
SN: 14984 250.000000
SN: 150254 250.000000
SN: 150455 250.000000
SN: 150457 250.000000
SN: 150509 250.000000
SN: 150522 250.000000
SN: 151034 250.000000
SN: 15129 250.000000
SN: 15132 250.000000
SN: 151425 250.000000
SN: 15161 250.000000
SN: 15170 250.000000
SN: 15171 250.000000
SN: 15201 250.000000
SN: 15203 250.000000
SN: 15213 250.000000
SN: 15217 250.000000
SN: 15219 250.000000
SN: 15222 250.000000
SN: 15229 250.000000
SN: 15234 250.000000
SN: 15259 250.000000
SN: 15287 250.000000
SN: 15340 250.000000
SN: 15354 250.000000
SN: 15356 250.000000
SN: 15365 250.000000
SN: 15369 250.000000
SN: 15383 250.000000
SN: 15421 250.000000
SN: 15425 250.000000
SN: 15433 250.000000
SN: 15440 250.000000
SN: 15443 250.000000
SN: 15453 250.000000
SN: 15456 250.000000
SN: 15459 250.000000
SN: 15461 250.000000
SN: 15466 250.000000
SN: 15467 250.000000
SN: 15508 250.000000
SN: 15583 250.000000
SN: 15584 250.000000
SN: 15648 250.000000
SN: 15674 250.000000
SN: 15704 250.000000
SN: 15756 250.000000
SN: 15776 250.000000
SN: 1580 250.000000
SN: 15868 250.000000
SN: 15872 250.000000
SN: 15897 250.000000
SN: 15901 250.000000
SN: 16000 250.000000
SN: 160039 250.000000
SN: 160046 250.000000
SN: 160066 250.000000
SN: 160070 250.000000
SN: 160099 250.000000
SN: 160126 250.000000
SN: 160197 250.000000
SN: 160198 250.000000
SN: 160200 250.000000
SN: 16021 250.000000
SN: 160214 250.000000
SN: 160287 250.000000
SN: 16032 250.000000
SN: 16069 250.000000
SN: 16072 250.000000
SN: 16073 250.000000
SN: 16093 250.000000
SN: 16099 250.000000
SN: 16100 250.000000
SN: 16106 250.000000
SN: 16108 250.000000
SN: 16116 250.000000
SN: 16165 250.000000
SN: 16185 250.000000
SN: 16206 250.000000
SN: 16211 250.000000
SN: 16213 250.000000
SN: 16215 250.000000
SN: 16232 250.000000
SN: 16259 250.000000
SN: 16276 250.000000
SN: 16280 250.000000
SN: 16281 250.000000
SN: 16287 250.000000
SN: 16314 250.000000
SN: 16333 250.000000
SN: 16350 250.000000
SN: 16352 250.000000
SN: 16357 250.000000
SN: 16392 250.000000
SN: 16402 250.000000
SN: 16414 250.000000
SN: 16421 250.000000
SN: 16442 250.000000
SN: 16473 250.000000
SN: 16482 250.000000
SN: 16541 250.000000
SN: 16567 250.000000
SN: 16578 250.000000
SN: 16618 250.000000
SN: 16619 250.000000
SN: 16631 250.000000
SN: 16637 250.000000
SN: 16641 250.000000
SN: 16644 250.000000
SN: 16692 250.000000
SN: 16737 250.000000
SN: 16748 250.000000
SN: 16758 250.000000
SN: 16774 250.000000
SN: 16776 250.000000
SN: 16779 250.000000
SN: 16781 250.000000
SN: 16789 250.000000
SN: 16793 250.000000
SN: 16836 250.000000
SN: 16847 250.000000
SN: 16872 250.000000
SN: 1688 250.000000
SN: 16894 250.000000
SN: 16899 250.000000
SN: 16938 250.000000
SN: 16953 250.000000
SN: 16956 250.000000
SN: 170078 250.000000
SN: 170428 250.000000
SN: 17048 250.000000
SN: 170532 250.000000
SN: 17081 250.000000
SN: 17106 250.000000
SN: 17117 250.000000
SN: 17168 250.000000
SN: 17171 250.000000
SN: 17174 250.000000
SN: 17176 250.000000
SN: 17186 250.000000
SN: 17208 250.000000
SN: 17215 250.000000
SN: 17218 250.000000
SN: 17220 250.000000
SN: 17223 250.000000
SN: 17240 250.000000
SN: 17253 250.000000
SN: 17258 250.000000
SN: 17263 250.000000
SN: 17274 250.000000
SN: 17280 250.000000
SN: 17332 250.000000
SN: 17340 250.000000
SN: 17366 250.000000
SN: 17389 250.000000
SN: 17391 250.000000
SN: 17435 250.000000
SN: 17460 250.000000
SN: 17464 250.000000
SN: 17497 250.000000
SN: 17500 250.000000
SN: 17528 250.000000
SN: 17552 250.000000
SN: 17568 250.000000
SN: 17605 250.000000
SN: 17629 250.000000
SN: 17745 250.000000
SN: 17784 250.000000
SN: 17790 250.000000
SN: 17791 250.000000
SN: 17801 250.000000
SN: 17809 250.000000
SN: 17811 250.000000
SN: 17825 250.000000
SN: 17875 250.000000
SN: 17880 250.000000
SN: 17884 250.000000
SN: 17886 250.000000
SN: 1794 250.000000
SN: 180166 250.000000
SN: 18030 250.000000
SN: 180313 250.000000
SN: 180561 250.000000
SN: 18091 250.000000
SN: 18241 250.000000
SN: 18298 250.000000
SN: 18323 250.000000
SN: 18325 250.000000
SN: 18375 250.000000
SN: 18415 250.000000
SN: 18456 250.000000
SN: 18463 250.000000
SN: 18466 250.000000
SN: 18485 250.000000
SN: 18486 250.000000
SN: 18602 250.000000
SN: 18604 250.000000
SN: 18612 250.000000
SN: 18617 250.000000
SN: 18650 250.000000
SN: 18697 250.000000
SN: 18721 250.000000
SN: 18740 250.000000
SN: 18749 250.000000
SN: 18751 250.000000
SN: 18768 250.000000
SN: 18782 250.000000
SN: 18787 250.000000
SN: 18804 250.000000
SN: 18807 250.000000
SN: 18809 250.000000
SN: 18835 250.000000
SN: 18839 250.000000
SN: 18855 250.000000
SN: 18890 250.000000
SN: 18927 250.000000
SN: 18940 250.000000
SN: 18945 250.000000
SN: 18965 250.000000
SN: 19002 250.000000
SN: 19003 250.000000
SN: 19008 250.000000
SN: 190209 250.000000
SN: 19023 250.000000
SN: 190230 250.000000
SN: 190237 250.000000
SN: 19025 250.000000
SN: 190260 250.000000
SN: 19027 250.000000
SN: 19029 250.000000
SN: 19033 250.000000
SN: 190340 250.000000
SN: 19051 250.000000
SN: 19070 250.000000
SN: 19101 250.000000
SN: 19128 250.000000
SN: 19149 250.000000
SN: 19155 250.000000
SN: 19174 250.000000
SN: 19207 250.000000
SN: 19211 250.000000
SN: 19230 250.000000
SN: 19282 250.000000
SN: 19341 250.000000
SN: 19353 250.000000
SN: 19381 250.000000
SN: 19543 250.000000
SN: 19596 250.000000
SN: 19604 250.000000
SN: 19616 250.000000
SN: 19626 250.000000
SN: 19632 250.000000
SN: 19658 250.000000
SN: 19702 250.000000
SN: 1972E 250.000000
SN: 19757 250.000000
SN: 19775 250.000000
SN: 19794 250.000000
SN: 1980N 250.000000
SN: 19818 250.000000
SN: 1981B 250.000000
SN: 1981D 250.000000
SN: 1986G 250.000000
SN: 19899 250.000000
SN: 1989B 250.000000
SN: 1990N 250.000000
SN: 1990O 250.000000
SN: 1990T 250.000000
SN: 1990Y 250.000000
SN: 1990af 250.000000
SN: 19913 250.000000
SN: 1991M 250.000000
SN: 1991S 250.000000
SN: 1991T 250.000000
SN: 1991U 250.000000
SN: 1991ag 250.000000
SN: 1991bg 250.000000
SN: 1992A 250.000000
SN: 1992G 250.000000
SN: 1992J 250.000000
SN: 1992K 250.000000
SN: 1992P 250.000000
SN: 1992ae 250.000000
SN: 1992ag 250.000000
SN: 1992al 250.000000
SN: 1992aq 250.000000
SN: 1992au 250.000000
SN: 1992bc 250.000000
SN: 1992bg 250.000000
SN: 1992bh 250.000000
SN: 1992bk 250.000000
SN: 1992bl 250.000000
SN: 1992bo 250.000000
SN: 1992bp 250.000000
SN: 1992br 250.000000
SN: 1992bs 250.000000
SN: 1993B 250.000000
SN: 1993H 250.000000
SN: 1993L 250.000000
SN: 1993O 250.000000
SN: 1993ac 250.000000
SN: 1993ae 250.000000
SN: 1993ag 250.000000
SN: 1993ah 250.000000
SN: 19940 250.000000
SN: 1994D 250.000000
SN: 1994DRichmond 250.000000
SN: 1994M 250.000000
SN: 1994Q 250.000000
SN: 1994S 250.000000
SN: 1994T 250.000000
SN: 1994ae 250.000000
SN: 19953 250.000000
SN: 1995D 250.000000
SN: 1995E 250.000000
SN: 1995ac 250.000000
SN: 1995ak 250.000000
SN: 1995al 250.000000
SN: 1995bd 250.000000
SN: 19968 250.000000
SN: 19969 250.000000
SN: 1996C 250.000000
SN: 1996X 250.000000
SN: 1996Z 250.000000
SN: 1996ab 250.000000
SN: 1996ai 250.000000
SN: 1996bk 250.000000
SN: 1996bl 250.000000
SN: 1996bo 250.000000
SN: 1996bv 250.000000
SN: 1997 250.000000
SN: 1997E 250.000000
SN: 1997Y 250.000000
SN: 1997bp 250.000000
SN: 1997bq 250.000000
SN: 1997bq_B 250.000000
SN: 1997bq_JB 250.000000
SN: 1997br 250.000000
SN: 1997cn 250.000000
SN: 1997cw 250.000000
SN: 1997dg 250.000000
SN: 1997do 250.000000
SN: 1997dt 250.000000
SN: 1998D 250.000000
SN: 1998V 250.000000
SN: 1998ab 250.000000
SN: 1998aq 250.000000
SN: 1998bp 250.000000
SN: 1998bu 250.000000
SN: 1998co 250.000000
SN: 1998de 250.000000
SN: 1998dh 250.000000
SN: 1998dk 250.000000
SN: 1998dm 250.000000
SN: 1998dx 250.000000
SN: 1998ec 250.000000
SN: 1998ef 250.000000
SN: 1998eg 250.000000
