VARNAMES: CID VPEC
SN: 100213 4.710600
SN: 100358 -22.420100
SN: 100405 11.109000
SN: 10096 -76.542500
SN: 1032 -46.316600
SN: 10434 -46.861700
SN: 10449 -26.140000
SN: 10550 -24.524900
SN: 10805 -120.600100
SN: 110024 -16.954000
SN: 110030 -40.470600
SN: 110031 -26.892300
SN: 110033 -30.198100
SN: 110034 -28.093200
SN: 110036 -32.129500
SN: 110425 -19.918000
SN: 110426 -15.538700
SN: 110430 -18.535500
SN: 110431 -21.632400
SN: 110460 7.303300
SN: 110478 5.409000
SN: 110484 -16.258500
SN: 110536 5.487900
SN: 110542 -18.669200
SN: 110567 4.760600
SN: 11067 -54.313100
SN: 110716 -23.438700
SN: 110719 -18.271700
SN: 110721 -14.352200
SN: 110734 -19.801500
SN: 1112 -26.152700
SN: 1119 -18.344100
SN: 11206 -23.011400
SN: 11300 -51.582800
SN: 11452 -26.342400
SN: 11557 -19.683300
SN: 11650 -29.480800
SN: 1166 -23.140900
SN: 11864 -26.231400
SN: 120044 12.720100
SN: 120085 17.977400
SN: 120086 15.252800
SN: 120094 13.562200
SN: 120143 -46.152200
SN: 120225 41.403100
SN: 120243 -19.807600
SN: 120336 32.103800
SN: 120369 17.546600
SN: 120400 15.842800
SN: 120444 4.686300
SN: 120585 -25.347400
SN: 120586 5.317900
SN: 12136 -22.338200
SN: 1241 -59.489200
SN: 1248677 4.749200
SN: 1248907 21.834800
SN: 1249851 9.277500
SN: 1250017 -34.929400
SN: 1253 -21.045300
SN: 1253039 3.603300
SN: 1253101 9.690200
SN: 1253920 6.706800
SN: 1255502 -38.620900
SN: 1256823 -15.025100
SN: 1257366 5.906200
SN: 1257695 19.268600
SN: 1258906 13.032800
SN: 1258940 -17.071000
SN: 1259412 -19.807600
SN: 1261059 -18.120100
SN: 1261086 -8.358000
SN: 1261579 -19.269900
SN: 1262128 14.484400
SN: 1262214 2.979400
SN: 1262715 2.858300
SN: 1263369 -21.924400
SN: 1263715 -22.717600
SN: 1266657 -22.299400
SN: 1273127 20.180900
SN: 1275946 17.425900
SN: 1276528 -26.164800
SN: 1277168 -43.331000
SN: 12779 -40.944000
SN: 1277971 7.187300
SN: 12780 36.016300
SN: 12781 -73.917900
SN: 1279500 -25.572600
SN: 1280201 -57.138000
SN: 1280217 -19.309000
SN: 1280240 104.625300
SN: 1281668 14.076400
SN: 1281886 -18.451900
SN: 1282736 -15.943500
SN: 1282757 -20.118500
SN: 1283373 6.110200
SN: 1283724 20.309400
SN: 1283878 -20.314700
SN: 1283923 24.894400
SN: 1283936 12.456300
SN: 12841 -17.231500
SN: 12843 -29.141600
SN: 1284587 10.723400
SN: 12851 -28.165000
SN: 1285160 2.642800
SN: 12853 -26.899400
SN: 1285317 8.196800
SN: 12855 -34.376100
SN: 12856 -35.529100
SN: 12860 -41.467500
SN: 1286398 -35.655900
SN: 12869 -21.143500
SN: 1287626 -19.385500
SN: 12881 -33.316200
SN: 12883 -14.505800
SN: 1289288 14.781600
SN: 1289555 -13.476400
SN: 1289600 3.563000
SN: 1289656 3.012200
SN: 1289664 -25.740900
SN: 12897 12.369200
SN: 12898 -73.759300
SN: 1290127 9.914000
SN: 1290568 3.964900
SN: 12907 -54.087100
SN: 1290779 4.434400
SN: 1290816 6.889900
SN: 1291080 -14.116400
SN: 1291090 14.474400
SN: 1291639 16.302100
SN: 1291794 5.079000
SN: 1291957 11.759200
SN: 1292145 4.516400
SN: 1292195 2.385000
SN: 1292315 -50.154000
SN: 1292332 -24.427700
SN: 1292336 -28.271200
SN: 1292560 -25.808500
SN: 12927 -35.564200
SN: 12928 -19.530500
SN: 12930 -23.123300
SN: 1293319 -19.271500
SN: 1293758 24.776600
SN: 1294014 -19.360500
SN: 1294137 -16.587600
SN: 1294743 -20.006800
SN: 12950 -71.293200
SN: 1295027 -14.060000
SN: 1295256 3.735900
SN: 1295305 -11.751700
SN: 1295921 -14.245800
SN: 1296273 -18.446900
SN: 1296321 -34.555000
SN: 1296657 -34.867700
SN: 1297026 -23.011200
SN: 12971 -33.294100
SN: 12972 -30.511800
SN: 1297465 4.911300
SN: 1297501 6.463400
SN: 12977 -31.966500
SN: 1298281 -28.272800
SN: 12983 -30.451600
SN: 1298893 -27.557500
SN: 1299643 3.750300
SN: 1299775 11.395700
SN: 1299785 4.636900
SN: 13005 -52.381100
SN: 1300516 -20.132300
SN: 1300912 3.985200
SN: 1301933 -18.784700
SN: 1302058 8.928600
SN: 1302117 8.685700
SN: 1302141 7.301400
SN: 1302187 5.294500
SN: 13025 -31.035300
SN: 1302523 -15.509300
SN: 1302648 17.951200
SN: 1303004 -19.534800
SN: 130308 -67.111400
SN: 1303279 8.667000
SN: 1303496 10.416400
SN: 13038 -60.235500
SN: 1303883 17.278900
SN: 1303952 -11.177800
SN: 1304127 -9.190900
SN: 13044 -45.028200
SN: 1304442 6.332100
SN: 13045 -38.551700
SN: 130451 7.051700
SN: 1304678 6.919900
SN: 130514 -58.594500
SN: 1305504 -13.394800
SN: 1305626 -19.857600
SN: 1306029 -16.393300
SN: 1306073 -19.806400
SN: 1306141 5.953600
SN: 1306299 4.550200
SN: 1306360 2.763100
SN: 1306390 -17.842700
SN: 1306537 3.587300
SN: 1306626 3.731700
SN: 1306785 -12.474300
SN: 1306980 8.397000
SN: 1306991 9.503700
SN: 13070 -36.876600
SN: 1307073 6.634000
