VARNAMES: CID REDSHIFT_CMB
SN: 05D3jh 0.718674
SN: 05D3jk 0.736684
SN: 05D3jq 0.579594
SN: 05D3jr 0.370526
SN: 05D3km 0.960733
SN: 05D3kp 0.850722
SN: 05D3kt 0.648634
SN: 05D3kx 0.219457
SN: 05D3la 0.936747
SN: 05D3lb 0.647633
SN: 05D3lc 0.461558
SN: 05D3lr 0.600597
SN: 05D3mh 0.670648
SN: 05D3mn 0.760691
SN: 05D3mq 0.246488
SN: 05D3mx 0.470568
SN: 05D3ne 0.169701
SN: 05D4af 0.497374
SN: 05D4ag 0.638229
SN: 05D4av 0.507367
SN: 05D4be 0.535322
SN: 05D4bf 0.587280
SN: 05D4bi 0.773076
SN: 05D4bj 0.699160
SN: 05D4bm 0.370507
SN: 05D4cn 0.761084
SN: 05D4cq 0.699164
SN: 05D4cs 0.788055
SN: 05D4cw 0.373509
SN: 05D4dt 0.405474
SN: 05D4dw 0.852988
SN: 05D4dy 0.808043
SN: 05D4ef 0.603268
SN: 05D4ej 0.583285
SN: 05D4ek 0.534331
SN: 05D4ev 0.720134
SN: 05D4ff 0.400480
SN: 05D4fg 0.836999
SN: 05D4fo 0.371504
SN: 05D4gw 0.806036
SN: 05D4hn 0.840000
SN: 06D2bk 0.500735
SN: 06D2ca 0.532773
SN: 06D2cc 0.533774
SN: 06D2cd 0.932239
SN: 06D2ce 0.822113
SN: 06D2ck 0.553805
SN: 06D2fb 0.125805
SN: 06D2ga 0.842133
SN: 06D2gb 0.443675
SN: 06D3bz 0.727669
SN: 06D3cc 0.683653
SN: 06D3df 0.442542
SN: 06D3do 0.726673
SN: 06D3dt 0.282556
SN: 06D3ed 0.404543
SN: 06D3el 0.519605
SN: 06D3em 0.690646
SN: 06D3en 1.060794
SN: 06D3et 0.576606
SN: 06D3fp 0.268484
SN: 06D3gh 0.720674
SN: 06D3gn 0.250688
SN: 06D3gx 0.760684
SN: 06D4ba 0.698162
SN: 06D4bo 0.550311
SN: 06D4bw 0.730123
SN: 06D4ce 0.847980
SN: 06D4cl 0.997820
SN: 06D4co 0.435442
SN: 06D4cq 0.409466
SN: 06D4dh 0.301586
SN: 070242 0.064160
SN: 070955 0.349199
SN: 080064 0.065709
SN: 080308 0.338074
SN: 080646 0.318125
SN: 080723 0.430127
SN: 080735 0.633056
SN: 090034 0.028128
SN: 090037 0.145387
SN: 090201 0.508165
SN: 090275 0.139585
SN: 091869 0.288432
SN: 100020 0.247757
SN: 100090 0.172823
SN: 100101 0.429674
SN: 100163 0.317734
SN: 100206 0.216526
SN: 100213 0.275106
SN: 100358 0.366130
SN: 100405 0.102984
SN: 10096 0.076663
SN: 1032 0.129039
SN: 10434 0.102879
SN: 10449 0.240538
SN: 10550 0.299227
SN: 10805 0.043971
SN: 110024 0.509159
SN: 110030 0.177359
SN: 110031 0.290422
SN: 110033 0.204708
SN: 110034 0.234925
SN: 110036 0.201565
SN: 110425 0.380833
SN: 110426 0.540892
SN: 110430 0.420852
SN: 110431 0.342810
SN: 110460 0.199556
SN: 110478 0.264624
SN: 110484 0.510870
SN: 110536 0.234747
SN: 110542 0.426942
SN: 110567 0.214416
SN: 11067 0.116803
SN: 110716 0.315774
SN: 110719 0.427844
SN: 110721 0.578234
SN: 110734 0.402117
SN: 1112 0.256088
SN: 1119 0.296392
SN: 11206 0.381745
SN: 11300 0.135528
SN: 11452 0.299723
SN: 11557 0.381171
SN: 11650 0.273827
SN: 1166 0.380501
SN: 11864 0.303960
SN: 120044 0.481707
SN: 120085 0.322136
SN: 120086 0.392620
SN: 120094 0.451687
SN: 120143 0.173596
SN: 120225 0.107283
SN: 120243 0.338929
SN: 120336 0.161341
SN: 120369 0.330549
SN: 120400 0.351559
SN: 120444 0.299472
SN: 120585 0.248989
SN: 120586 0.229505
SN: 12136 0.348294
