SURVEY: ASASSN
SNTYPE: 1
SNID: 2018gv 
IAUC: 2018gv
RA:   121.394210 deg
DECL:   -11.437860 deg 
RA_HOST:   121.408500
DEC_HOST:   -11.427030
REDSHIFT_HELIO: 0.005374 +- 0.00015 
REDSHIFT_CMB: 0.0062362 +- 0.00015 
VPEC: -70.4303 +- 250.0
FILTERS: abcdghij
SEARCH_PEAKMJD: 58147
MWEBV: .0498206
NOBS: 211
NVAR: 7
VARLIST: MJD FLT FIELD MAG MAGERR FLUXCAL FLUXCALERR
OBS: 58195.45840000 b NULL 14.9860 0.0440 101297.79688 4106.26738
OBS: 58210.05760000 b NULL 15.4030 0.0520 68992.20098 3305.55999
OBS: 58216.05070000 b NULL 15.5520 0.0370 60145.06520 2050.03587
OBS: 58226.00430000 b NULL 15.8260 0.0530 46730.45396 2282.04401
OBS: 58233.74410000 b NULL 15.9780 0.0910 40625.61982 3408.98763
OBS: 58243.42950000 b NULL 16.2380 0.0430 31974.22303 1266.65302
OBS: 58135.30050000 j NULL 15.6900 0.0340 52966.34439 1658.92051
OBS: 58136.30040000 j NULL 15.1770 0.0400 84957.16272 3130.64563
OBS: 58137.29630000 j NULL 14.7320 0.0400 127997.06167 4716.65282
OBS: 58142.42080000 j NULL 13.3820 0.0490 443812.98031 20036.37618
OBS: 58144.37930000 j NULL 13.1910 0.0400 529175.83042 19499.96853
OBS: 58146.38140000 j NULL 13.0320 0.0560 612632.45444 31612.31112
OBS: 58150.38100000 j NULL 12.9290 0.0600 673596.77622 37243.28291
OBS: 58151.42080000 j NULL 12.8710 0.0750 710558.76337 49122.70529
OBS: 58153.42080000 j NULL 12.9410 0.0600 666192.90022 36833.92132
OBS: 58155.42060000 j NULL 12.9500 0.0340 660693.44801 20693.10092
OBS: 58164.42100000 j NULL 13.4610 0.0570 412667.24632 21674.54620
OBS: 58191.19410000 j NULL 14.8520 0.0480 114604.05911 5068.25408
OBS: 58196.11090000 j NULL 15.0330 0.0510 97006.31338 4558.32779
OBS: 58198.10830000 j NULL 15.0940 0.0550 91706.47491 4647.55026
OBS: 58201.15180000 j NULL 15.1900 0.0540 83945.99865 4176.84611
OBS: 58207.21310000 j NULL 15.3000 0.0440 75857.75750 3075.01490
OBS: 58212.14440000 j NULL 15.4850 0.0500 63973.48355 2947.12923
OBS: 58213.14430000 j NULL 15.4790 0.0550 64327.99273 3260.04876
OBS: 58216.17360000 j NULL 15.5920 0.0500 57969.55947 2670.54056
OBS: 58221.18420000 j NULL 15.7310 0.0620 51003.50240 2914.09278
OBS: 58227.14500000 j NULL 15.8650 0.0580 45081.67045 2409.40724
OBS: 58229.14510000 j NULL 15.9120 0.0550 43171.78445 2187.88301
OBS: 58243.19310000 j NULL 16.2610 0.0790 31304.01190 2279.74313
OBS: 58134.07730000 d NULL 16.4370 0.0760 26619.50651 1864.84987
OBS: 58134.30530000 d NULL 16.2710 0.0440 31017.01499 1257.32406
OBS: 58135.23540000 d NULL 15.7440 0.0420 50396.45636 1949.99402
OBS: 58135.34470000 d NULL 15.6610 0.0440 54400.13782 2205.19615
OBS: 58135.88310000 d NULL 15.3970 0.0730 69374.52139 4667.94471
OBS: 58137.11540000 d NULL 14.7780 0.0420 122687.41046 4747.15354
OBS: 58138.10040000 d NULL 14.4660 0.0520 163530.96517 7835.10900
OBS: 58140.20530000 d NULL 13.7850 0.0470 306196.34337 13258.95105
OBS: 58141.13960000 d NULL 13.6190 0.0500 356779.58829 16436.11530
OBS: 58142.17570000 d NULL 13.4500 0.0530 416869.38347 20357.47991
OBS: 58146.23240000 d NULL 13.1020 0.0530 574380.91350 28049.42836
OBS: 58147.66520000 d NULL 13.0320 0.0410 612632.45444 23139.96773
OBS: 58151.70350000 d NULL 12.9680 0.0450 649830.36348 26940.92645
OBS: 58153.54830000 d NULL 13.0010 0.0430 630376.47883 24972.24933
OBS: 58158.83210000 d NULL 13.2540 0.0420 499344.18872 19321.16363
OBS: 58160.77180000 d NULL 13.3550 0.0440 454988.06015 18443.66498
OBS: 58164.77120000 d NULL 13.6730 0.0470 339468.90538 14699.72354
OBS: 58167.51790000 d NULL 13.7570 0.0460 314195.52846 13315.68250
OBS: 58171.76310000 d NULL 13.8220 0.0450 295937.49953 12269.09492
OBS: 58173.76600000 d NULL 13.8440 0.0440 290001.33691 11755.66563
OBS: 58176.78020000 d NULL 13.9160 0.0430 271393.84876 10751.21786
OBS: 58179.75600000 d NULL 14.0020 0.0440 250726.36248 10163.59205
OBS: 58181.19740000 d NULL 14.1050 0.0590 228034.20720 12397.70825
OBS: 58189.41970000 d NULL 14.5910 0.0390 145747.12613 5236.41039
OBS: 58195.45970000 d NULL 14.8570 0.0430 114077.50129 4519.15943
OBS: 58201.99980000 d NULL 15.0960 0.0380 91537.70084 3204.40896
OBS: 58205.02080000 d NULL 15.1960 0.0430 83483.37537 3307.17870
OBS: 58210.05900000 d NULL 15.4000 0.0520 69183.09709 3314.70622
OBS: 58216.05210000 d NULL 15.5570 0.0390 59868.72372 2150.96665
